"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 15 08:20:05 GMT 2024","Thu Feb 15 08:20:05 GMT 2024","25","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getZipCodes","getZipCodes","Get ZipCodes Test"
"passed","Thu Feb 15 08:20:05 GMT 2024","Thu Feb 15 08:20:05 GMT 2024","42","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","deleteUser","Delete Users Test","Delete Users Test"
"passed","Thu Feb 15 08:20:05 GMT 2024","Thu Feb 15 08:20:05 GMT 2024","26","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getWriteTokenTest","Get Write Token Test","Get Write TokenTest"
"passed","Thu Feb 15 08:20:05 GMT 2024","Thu Feb 15 08:20:05 GMT 2024","14","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getReadTokenTest","Get Read Token Test","Get Read Token Test"
"passed","Thu Feb 15 08:20:05 GMT 2024","Thu Feb 15 08:20:06 GMT 2024","191","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","uploadUsers","Upload Users Test","Upload Users Test"
"passed","Thu Feb 15 08:20:05 GMT 2024","Thu Feb 15 08:20:05 GMT 2024","73","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","updateUsersTest","Update Users Test","Update Users Test"
"failed","Wed Jan 17 16:21:56 GMT 2024","Wed Jan 17 16:21:56 GMT 2024","55","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getZipCodes2","Get ZipCodes Test2","Get ZipCodes Test2"
"passed","Thu Feb 15 08:20:05 GMT 2024","Thu Feb 15 08:20:05 GMT 2024","275","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","createUserWithAvailableZipCode","Create User Test","Create User Test"
"passed","Thu Feb 15 08:20:04 GMT 2024","Thu Feb 15 08:20:05 GMT 2024","918","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getUsersTest","getUsersTest","Get Users Test"
"passed","Thu Feb 15 08:20:05 GMT 2024","Thu Feb 15 08:20:05 GMT 2024","81","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","postZipCodes","postZipCodes","Post ZipCodes Test"
