"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 19 15:32:36 GMT 2024","Mon Feb 19 15:32:36 GMT 2024","281","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","createUserWithAvailableZipCode","Create User Test","Create User Test"
"passed","Mon Feb 19 15:32:39 GMT 2024","Mon Feb 19 15:32:39 GMT 2024","374","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","uploadUsers","Upload Users Test","Upload Users Test"
"failed","Mon Feb 19 15:32:36 GMT 2024","Mon Feb 19 15:32:36 GMT 2024","45","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","deleteUser","Delete Users Test","Delete Users Test"
"passed","Mon Feb 19 15:32:39 GMT 2024","Mon Feb 19 15:32:39 GMT 2024","51","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","getUsersTest","getUsersTest","Get Users Test"
"passed","Mon Feb 19 15:32:36 GMT 2024","Mon Feb 19 15:32:36 GMT 2024","70","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","updateUsersTest","Update Users Test","Update Users Test"
"passed","Mon Feb 19 15:32:38 GMT 2024","Mon Feb 19 15:32:38 GMT 2024","59","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","getZipCodes","Get ZipCodes Test","Get ZipCodes Test"
"passed","Mon Feb 19 15:32:36 GMT 2024","Mon Feb 19 15:32:36 GMT 2024","51","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getUsersTest","getUsersTest","Get Users Test"
"passed","Mon Feb 19 15:32:38 GMT 2024","Mon Feb 19 15:32:38 GMT 2024","39","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","getReadTokenTest","Get Read Token Test","Get Read Token Test"
"passed","Mon Feb 19 15:32:39 GMT 2024","Mon Feb 19 15:32:39 GMT 2024","67","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","deleteUser","Delete Users Test","Delete Users Test"
"passed","Mon Feb 19 15:32:35 GMT 2024","Mon Feb 19 15:32:35 GMT 2024","16","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getReadTokenTest","Get Read Token Test","Get Read Token Test"
"failed","Mon Feb 19 15:32:35 GMT 2024","Mon Feb 19 15:32:36 GMT 2024","72","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getZipCodes","getZipCodes","Get ZipCodes Test"
"passed","Mon Feb 19 15:32:36 GMT 2024","Mon Feb 19 15:32:36 GMT 2024","106","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","postZipCodes","postZipCodes","Post ZipCodes Test"
"passed","Mon Feb 19 15:32:34 GMT 2024","Mon Feb 19 15:32:35 GMT 2024","1017","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getWriteTokenTest","Get Write Token Test","Get Write TokenTest"
"passed","Mon Feb 19 15:32:38 GMT 2024","Mon Feb 19 15:32:39 GMT 2024","74","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","createUserWithAvailableZipCode","Create User Test","Create User Test"
"passed","Mon Feb 19 15:32:36 GMT 2024","Mon Feb 19 15:32:38 GMT 2024","2094","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","getWriteTokenTest","Get Write Token Test","Get Write TokenTest"
"failed","Mon Feb 19 15:32:36 GMT 2024","Mon Feb 19 15:32:36 GMT 2024","39","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","uploadUsers","Upload Users Test","Upload Users Test"
"passed","Mon Feb 19 15:32:38 GMT 2024","Mon Feb 19 15:32:38 GMT 2024","47","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","postZipCodes","postZipCodes","Post ZipCodes Test"
"passed","Mon Feb 19 15:32:39 GMT 2024","Mon Feb 19 15:32:39 GMT 2024","106","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","updateUsersTest","Update Users Test","Update Users Test"
