"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 15:14:42 GMT 2024","Mon Feb 19 15:14:42 GMT 2024","34","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getUsersTest","getUsersTest","Get Users Test"
"failed","Mon Feb 19 15:14:41 GMT 2024","Mon Feb 19 15:14:42 GMT 2024","1144","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","createUserWithAvailableZipCode","Create User Test","Create User Test"
"passed","Mon Feb 19 15:14:45 GMT 2024","Mon Feb 19 15:14:45 GMT 2024","26","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","getWriteTokenTest","Get Write Token Test","Get Write TokenTest"
"passed","Mon Feb 19 15:14:45 GMT 2024","Mon Feb 19 15:14:45 GMT 2024","62","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","getUsersTest","getUsersTest","Get Users Test"
"failed","Mon Feb 19 15:14:42 GMT 2024","Mon Feb 19 15:14:44 GMT 2024","2136","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","createUserWithAvailableZipCode","Create User Test","Create User Test"
"failed","Mon Feb 19 15:14:42 GMT 2024","Mon Feb 19 15:14:42 GMT 2024","32","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","updateUsersTest","Update Users Test","Update Users Test"
"passed","Mon Feb 19 15:14:45 GMT 2024","Mon Feb 19 15:14:45 GMT 2024","32","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","postZipCodes","postZipCodes","Post ZipCodes Test"
"passed","Mon Feb 19 15:14:42 GMT 2024","Mon Feb 19 15:14:42 GMT 2024","27","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","postZipCodes","postZipCodes","Post ZipCodes Test"
"failed","Mon Feb 19 15:14:45 GMT 2024","Mon Feb 19 15:14:45 GMT 2024","56","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","updateUsersTest","Update Users Test","Update Users Test"
"passed","Mon Feb 19 15:14:42 GMT 2024","Mon Feb 19 15:14:42 GMT 2024","19","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getReadTokenTest","Get Read Token Test","Get Read Token Test"
"failed","Mon Feb 19 15:14:44 GMT 2024","Mon Feb 19 15:14:45 GMT 2024","104","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","deleteUser","Delete Users Test","Delete Users Test"
"failed","Mon Feb 19 15:14:42 GMT 2024","Mon Feb 19 15:14:42 GMT 2024","82","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","deleteUser","Delete Users Test","Delete Users Test"
"passed","Mon Feb 19 15:14:42 GMT 2024","Mon Feb 19 15:14:42 GMT 2024","40","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getZipCodes","getZipCodes","Get ZipCodes Test"
"passed","Mon Feb 19 15:14:42 GMT 2024","Mon Feb 19 15:14:42 GMT 2024","270","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","uploadUsers","Upload Users Test","Upload Users Test"
"passed","Mon Feb 19 15:14:45 GMT 2024","Mon Feb 19 15:14:45 GMT 2024","34","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","getZipCodes","Get ZipCodes Test","Get ZipCodes Test"
"passed","Mon Feb 19 15:14:45 GMT 2024","Mon Feb 19 15:14:45 GMT 2024","25","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","getReadTokenTest","Get Read Token Test","Get Read Token Test"
"passed","Mon Feb 19 15:14:45 GMT 2024","Mon Feb 19 15:14:45 GMT 2024","127","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","uploadUsers","Upload Users Test","Upload Users Test"
"passed","Mon Feb 19 15:14:42 GMT 2024","Mon Feb 19 15:14:42 GMT 2024","16","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getWriteTokenTest","Get Write Token Test","Get Write TokenTest"
