"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 15 08:56:39 GMT 2024","Thu Feb 15 08:56:39 GMT 2024","86","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","updateUsersTest","Update Users Test","Update Users Test"
"failed","Thu Jan 25 17:53:41 GMT 2024","Thu Jan 25 17:53:42 GMT 2024","108","Default Suite","API","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","postZipCodes","postZipCodes","Post ZipCodes Test"
"passed","Thu Feb 15 08:56:39 GMT 2024","Thu Feb 15 08:56:39 GMT 2024","48","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","postZipCodes","postZipCodes","Post ZipCodes Test"
"passed","Thu Feb 15 08:56:39 GMT 2024","Thu Feb 15 08:56:39 GMT 2024","79","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","createUserWithAvailableZipCode","Create User Test","Create User Test"
"passed","Thu Feb 15 08:56:37 GMT 2024","Thu Feb 15 08:56:39 GMT 2024","1860","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","getUsersTest","getUsersTest","Get Users Test"
"passed","Thu Feb 15 08:56:36 GMT 2024","Thu Feb 15 08:56:36 GMT 2024","66","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","postZipCodes","postZipCodes","Post ZipCodes Test"
"passed","Thu Feb 15 08:56:37 GMT 2024","Thu Feb 15 08:56:37 GMT 2024","57","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","updateUsersTest","Update Users Test","Update Users Test"
"failed","Wed Jan 17 16:21:56 GMT 2024","Wed Jan 17 16:21:56 GMT 2024","55","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getZipCodes2","Get ZipCodes Test2","Get ZipCodes Test2"
"passed","Thu Feb 15 08:56:37 GMT 2024","Thu Feb 15 08:56:37 GMT 2024","211","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","uploadUsers","Upload Users Test","Upload Users Test"
"passed","Thu Feb 15 08:56:39 GMT 2024","Thu Feb 15 08:56:39 GMT 2024","60","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","com.coherent.aqa.java.training.api.matveenko.RestAssuredTests","deleteUser","Delete Users Test","Delete Users Test"
"failed","Thu Feb 15 08:56:37 GMT 2024","Thu Feb 15 08:56:37 GMT 2024","60","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","deleteUser","Delete Users Test","Delete Users Test"
"passed","Thu Feb 15 08:56:35 GMT 2024","Thu Feb 15 08:56:36 GMT 2024","815","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getUsersTest","getUsersTest","Get Users Test"
